"","wb"
"1",4.87837276589766
"2",4.3936422305303
"3",5.6992872791257
"4",6.1214727522062
"5",4.58772833999454
"6",4.88872413249428
"7",3.7451318966593
"8",5.37182356454507
"9",4.45580138393566
"10",5.25821339455583
"11",3.94349338353924
"12",4.24945462478998
"13",5.13460193209828
"14",4.43683587855004
"15",5.11639182663854
"16",4.44231859403829
"17",3.78402504588376
"18",5.40245387632737
"19",4.64855141829032
"20",4.99172072023841
"21",4.89490220629199
"22",5.0777040239733
"23",3.7345208223538
"24",3.30519045933568
"25",4.7861623177408
"26",3.88835359339203
"27",4.72020698235302
"28",4.42125443595032
"29",4.84779344916721
"30",5.55289976445056
"31",5.0797183423122
"32",4.71773896974928
"33",4.94695458854324
"34",4.71373339649982
"35",4.09624008487822
"36",5.15365818853837
"37",4.32492392064107
"38",3.76914031251327
"39",4.77872592783854
"40",4.7507707605683
"41",5.8419713317279
"42",5.78023741234409
"43",4.05027817614263
"44",5.16287786710448
"45",5.36957079368326
"46",5.08441490248406
"47",5.53779606093841
"48",5.41348149889756
"49",5.28757871850194
"50",4.51383769753166
"51",4.72086365227893
"52",4.37073350974402
"53",5.15396625055289
"54",5.27199116194299
"55",4.41281652961452
"56",4.7300010153584
"57",4.29401391555291
"58",5.15402388845509
"59",5.06001962973109
"60",5.41686708090215
"61",5.75355749342727
"62",3.42999879990767
"63",5.33630243287746
"64",4.607619098397
"65",4.2666034352208
"66",4.72532164249531
"67",4.70354228045348
"68",4.55858742037466
"69",4.98695602041814
"70",4.65100058611543
"71",4.4801906141884
"72",3.43597980818234
"73",4.35541329605205
"74",3.63459317923298
"75",5.01289324387856
"76",4.87296437168951
"77",4.64830501054632
"78",5.00844014030162
"79",4.12716426854217
"80",3.19164859212461
"81",4.82747356294048
"82",3.41341849008914
"83",4.91589625010197
"84",4.90036926967759
"85",4.17850422253886
"86",4.00963625986946
"87",4.74517276368864
"88",3.94188427754748
"89",4.15401250871232
"90",4.73893772224414
"91",5.14152658489098
"92",5.46964738493094
"93",4.47901293262534
"94",3.66995217095216
"95",4.46104766656452
"96",5.04370655998291
"97",3.99356740384755
"98",4.08400052434
"99",5.61129434680748
"100",5.18534624275537
"101",5.01274253001728
"102",4.18226332867551
"103",4.91828844939383
"104",4.35301964865685
"105",4.47179718379994
"106",3.09223547107767
"107",5.27702730852056
"108",5.36048853207344
"109",4.89287859611197
"110",4.51790023476449
"111",4.61912327736804
"112",5.29319397796496
"113",5.40536904432094
"114",4.33417563110585
"115",4.43109898360955
"116",4.60328472436164
"117",4.526659753979
"118",5.02535777429381
"119",4.08133291355544
"120",5.17195279775658
"121",5.09455292756268
"122",4.47197350623238
"123",6.08002212492289
"124",3.85875470291347
"125",4.93414703823475
"126",4.58438316775851
"127",3.67953731202857
"128",4.55577707325995
"129",4.11162858097722
"130",3.93706107974724
"131",5.47602388324526
"132",4.31122271316158
"133",5.2018807805914
"134",5.34962283449265
"135",4.76986305249473
"136",5.49590798211461
"137",4.99522968676933
"138",5.09793421155178
"139",4.42552937822466
"140",2.76355792289549
"141",5.05587157705578
"142",3.88826198006234
"143",3.64726501435277
"144",4.42903323300351
"145",3.94987392276454
"146",4.90309916374371
"147",5.80187156336193
"148",4.489346673039
"149",4.25216095204263
"150",5.01468929813567
"151",4.06921693731967
"152",3.5137254327872
"153",4.25319415247794
"154",4.06457681525976
"155",4.78197797301025
"156",5.51151620727139
"157",5.15998752245179
"158",4.16713950355893
"159",4.83708005007119
"160",4.66359891780032
"161",4.84710964324821
"162",3.47761836857155
"163",4.92643531459225
"164",4.92289744750653
"165",4.8855848029436
"166",5.53810445303871
"167",4.71952729336816
"168",5.37072220787222
"169",5.15298622270949
"170",4.32240764846934
"171",5.21225619841846
"172",4.8275157532946
"173",4.61889725624695
"174",4.82728305980233
"175",5.18699188203408
"176",5.11441419356077
"177",5.18734606299282
"178",4.31858267912633
"179",4.48433036246295
"180",5.4607128232913
"181",4.16657395949326
"182",4.42632120031917
"183",5.10107658467265
"184",5.453606394888
"185",4.53499061359382
"186",5.6448435705878
"187",4.28469636866845
"188",4.97701525303237
"189",4.16116926846769
"190",5.44179164002292
"191",5.04576617993182
"192",4.66503522586926
"193",5.54162303280999
"194",4.24620861487734
"195",4.88121331396438
"196",4.67142575230941
"197",4.8328162209293
"198",3.94531221213466
"199",4.75477519611674
"200",4.88323620739836
"201",4.50276737551925
"202",4.31339258118251
"203",4.5745567915936
"204",4.93477941090494
"205",4.96024541107955
"206",5.37593996770693
"207",4.45366443680583
"208",5.0292283881614
"209",5.26164135971525
"210",4.74818793645952
"211",3.64137253888047
"212",4.60036031921086
"213",4.55494885313704
"214",4.81683889353558
"215",5.2240183895732
"216",5.7900626597118
"217",4.84533502505843
"218",5.62754180507861
"219",4.97589444882975
"220",4.97266112069217
"221",4.53864947867546
"222",5.0584920762597
"223",4.9595078672117
"224",4.47948954070898
"225",2.90066941121747
"226",5.2953106413758
"227",4.30428728067857
"228",5.5690840447581
"229",5.36299783472479
"230",4.29991587949808
"231",5.64972045793454
"232",3.31630466958516
"233",3.18707435999034
"234",4.85673961196693
"235",5.20600137702129
"236",4.78878128558211
"237",4.00484300190889
"238",3.65190695857925
"239",3.93521119064861
"240",5.05944022224225
"241",5.63209864440427
"242",4.99172401219801
"243",4.9179108359801
"244",4.86611626215954
"245",4.38453358988546
"246",5.34156248468676
"247",4.16711609009342
"248",4.40591449473516
"249",5.14613677585996
"250",4.65162301734372
"251",3.38304579111876
"252",3.82358273274938
"253",5.36081512871085
"254",5.18702546395924
"255",5.17206007112622
"256",5.07074287756594
"257",5.20749353386463
"258",4.78585432581678
"259",5.50135338931907
